,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
113,dhmix_2201663021806040380,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.5,,ClCCCl,Solvent,0.5,,-0.885,0.004,10.1016/j.jct.2007.06.017
114,dhmix_101847702994296892,298.15,101.0,Liquid,2,CCCCCCCl,Solvent,0.79,,CN1CCCC1=O,Solvent,0.21,,0.232,0.0025,10.1016/j.jct.2008.01.024
115,dhmix_275814181113182192,298.15,101.0,Liquid,2,CCCCCCCl,Solvent,0.497,,CN1CCCC1=O,Solvent,0.503,,0.416,0.0025,10.1016/j.jct.2008.01.024
116,dhmix_840847840731542643,298.15,101.0,Liquid,2,CCCCCCCl,Solvent,0.2029999999999999,,CN1CCCC1=O,Solvent,0.797,,0.319,0.0025,10.1016/j.jct.2008.01.024
117,dhmix_107460606439569535,308.15,100.0,Liquid,2,C1COCCO1,Solvent,0.5725,,O=C1CCCCCC1,Solvent,0.4275,,0.1032,0.00125,10.1021/acs.jced.6b00606
118,dhmix_1101001475632451077,308.15,100.0,Liquid,2,C1COCCO1,Solvent,0.2252,,O=C1CCCCCC1,Solvent,0.7747999999999999,,0.0783,0.001,10.1021/acs.jced.6b00606
119,dhmix_2239035738396328121,308.15,100.0,Liquid,2,C1COCCO1,Solvent,0.7716,,O=C1CCCCCC1,Solvent,0.2284,,0.0694,0.0009,10.1021/acs.jced.6b00606
120,dhmix_110368175234083214,298.4,101.0,Liquid,2,CC#N,Solvent,0.2016,,CCOC(C)(C)CC,Solvent,0.7984,,0.6411,0.0087,10.1021/je301238f
121,dhmix_565046024644834395,298.4,101.0,Liquid,2,CC#N,Solvent,0.7004,,CCOC(C)(C)CC,Solvent,0.2996,,0.8397,0.0113,10.1021/je301238f
122,dhmix_1131176031733024874,298.41,101.0,Liquid,2,CC#N,Solvent,0.5024,,CCOC(C)(C)CC,Solvent,0.4976,,0.9514,0.01285,10.1021/je301238f
